stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Workspace\GravitySimulator\GravitySimulator\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.05177] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05181] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05184] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05187] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05190] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05194] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05196] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05200] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05203] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05207] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05210] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05213] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05216] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05220] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05222] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05226] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05229] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05233] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05236] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05240] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05243] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05247] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05250] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05253] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05256] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05260] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05263] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05267] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05270] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05274] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05277] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05281] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05284] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05288] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05291] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05294] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05297] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05301] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05304] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05308] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05311] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05314] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05317] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05321] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05324] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05333] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05336] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05338] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05340] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05343] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05345] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05347] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05349] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
